date,visitor,home,visitor_points,home_points
2023-10-24,Los Angeles Lakers,Denver Nuggets, 107,119 
2023-10-24,Phoenix Suns,Golden State Warriors, 108,104 
2023-10-25,Atlanta Hawks,Charlotte Hornets, 110,116 
2023-10-25,Washington Wizards,Indiana Pacers, 120,143 
2023-10-25,Boston Celtics,New York Knicks, 108,104 
2023-10-25,Houston Rockets,Orlando Magic, 86,116 
2023-10-25,Cleveland Cavaliers,Brooklyn Nets, 114,113 
2023-10-25,Detroit Pistons,Miami Heat, 102,103 
2023-10-25,Minnesota Timberwolves,Toronto Raptors, 94,97 
2023-10-25,Oklahoma City Thunder,Chicago Bulls, 124,104 
2023-10-25,New Orleans Pelicans,Memphis Grizzlies, 111,104 
2023-10-25,Sacramento Kings,Utah Jazz, 130,114 
2023-10-25,Dallas Mavericks,San Antonio Spurs, 126,119 
2023-10-25,Portland Trail Blazers,LA Clippers, 111,126 
2023-10-26,Philadelphia 76ers,Milwaukee Bucks, 117,118 
2023-10-26,Phoenix Suns,Los Angeles Lakers, 95,100 
2023-10-27,Detroit Pistons,Charlotte Hornets, 111,99 
2023-10-27,Denver Nuggets,Memphis Grizzlies, 108,104 
2023-10-27,New York Knicks,Atlanta Hawks, 126,120 
2023-10-27,Miami Heat,Boston Celtics, 111,119 
2023-10-27,Oklahoma City Thunder,Cleveland Cavaliers, 108,105 
2023-10-27,Toronto Raptors,Chicago Bulls, 103,104 
2023-10-27,Houston Rockets,San Antonio Spurs, 122,126 
2023-10-27,Brooklyn Nets,Dallas Mavericks, 120,125 
2023-10-27,LA Clippers,Utah Jazz, 118,120 
2023-10-27,Orlando Magic,Portland Trail Blazers, 102,97 
2023-10-27,Golden State Warriors,Sacramento Kings, 122,114 
2023-10-28,Chicago Bulls,Detroit Pistons, 102,118 
2023-10-28,Memphis Grizzlies,Washington Wizards, 106,113 
2023-10-28,New York Knicks,New Orleans Pelicans, 87,96 
2023-10-28,Indiana Pacers,Cleveland Cavaliers, 125,113 
2023-10-28,Philadelphia 76ers,Toronto Raptors, 114,107 
2023-10-28,Miami Heat,Minnesota Timberwolves, 90,106 
2023-10-28,Utah Jazz,Phoenix Suns, 104,126 
2023-10-29,Denver Nuggets,Oklahoma City Thunder, 128,95 
2023-10-29,Golden State Warriors,Houston Rockets, 106,95 
2023-10-29,Atlanta Hawks,Milwaukee Bucks, 127,110 
2023-10-29,Portland Trail Blazers,Philadelphia 76ers, 98,126 
2023-10-29,San Antonio Spurs,LA Clippers, 83,123 
2023-10-29,Los Angeles Lakers,Sacramento Kings, 127,132 
2023-10-30,Brooklyn Nets,Charlotte Hornets, 133,121 
2023-10-30,Chicago Bulls,Indiana Pacers, 112,105 
2023-10-30,Boston Celtics,Washington Wizards, 126,107 
2023-10-30,Minnesota Timberwolves,Atlanta Hawks, 113,127 
2023-10-30,Portland Trail Blazers,Toronto Raptors, 99,91 
2023-10-30,Dallas Mavericks,Memphis Grizzlies, 125,110 
2023-10-30,Miami Heat,Milwaukee Bucks, 114,122 
2023-10-30,Golden State Warriors,New Orleans Pelicans, 130,102 
2023-10-30,Detroit Pistons,Oklahoma City Thunder, 112,124 
2023-10-30,Utah Jazz,Denver Nuggets, 102,110 
2023-10-30,Orlando Magic,Los Angeles Lakers, 103,106 
2023-10-31,New York Knicks,Cleveland Cavaliers, 109,91 
2023-10-31,San Antonio Spurs,Phoenix Suns, 115,114 
2023-10-31,Orlando Magic,LA Clippers, 102,118 
2023-11-01,Portland Trail Blazers,Detroit Pistons, 110,101 
2023-11-01,Milwaukee Bucks,Toronto Raptors, 111,130 
2023-11-01,Washington Wizards,Atlanta Hawks, 121,130 
2023-11-01,Indiana Pacers,Boston Celtics, 104,155 
2023-11-01,Brooklyn Nets,Miami Heat, 109,105 
2023-11-01,Cleveland Cavaliers,New York Knicks, 95,89 
2023-11-01,New Orleans Pelicans,Oklahoma City Thunder, 110,106 
2023-11-01,Charlotte Hornets,Houston Rockets, 119,128 
2023-11-01,Denver Nuggets,Minnesota Timberwolves, 89,110 
2023-11-01,Chicago Bulls,Dallas Mavericks, 105,114 
2023-11-01,Memphis Grizzlies,Utah Jazz, 109,133 
2023-11-01,Sacramento Kings,Golden State Warriors, 101,102 
2023-11-01,LA Clippers,Los Angeles Lakers, 125,130 
2023-11-02,Toronto Raptors,Philadelphia 76ers, 99,114 
2023-11-02,Detroit Pistons,New Orleans Pelicans, 116,125 
2023-11-02,Orlando Magic,Utah Jazz, 115,113 
2023-11-02,San Antonio Spurs,Phoenix Suns, 132,121 
2023-11-03,Cleveland Cavaliers,Indiana Pacers, 116,121 
2023-11-03,New York Knicks,Milwaukee Bucks, 105,110 
2023-11-03,Washington Wizards,Miami Heat, 114,121 
2023-11-03,Brooklyn Nets,Chicago Bulls, 109,107 
2023-11-03,Golden State Warriors,Oklahoma City Thunder, 141,139 
2023-11-03,Dallas Mavericks,Denver Nuggets, 114,125 
2023-11-03,Memphis Grizzlies,Portland Trail Blazers, 113,115 
2023-11-04,Phoenix Suns,Philadelphia 76ers, 100,112 
2023-11-04,Charlotte Hornets,Indiana Pacers, 125,124 
2023-11-04,Los Angeles Lakers,Orlando Magic, 101,120 
2023-11-04,Atlanta Hawks,New Orleans Pelicans, 123,105 
2023-11-04,Boston Celtics,Brooklyn Nets, 124,114 
2023-11-04,Sacramento Kings,Houston Rockets, 89,107 
2023-11-04,Utah Jazz,Minnesota Timberwolves, 95,123 
2023-11-04,Chicago Bulls,Denver Nuggets, 101,123 
2023-11-05,Phoenix Suns,Detroit Pistons, 120,106 
2023-11-05,Toronto Raptors,San Antonio Spurs, 123,116 
2023-11-05,Golden State Warriors,Cleveland Cavaliers, 104,115 
2023-11-05,Charlotte Hornets,Dallas Mavericks, 118,124 
2023-11-05,Memphis Grizzlies,Portland Trail Blazers, 112,100 
2023-11-06,Golden State Warriors,Detroit Pistons, 120,109 
2023-11-06,San Antonio Spurs,Indiana Pacers, 111,152 
2023-11-06,Dallas Mavericks,Orlando Magic, 117,102 
2023-11-06,Washington Wizards,Philadelphia 76ers, 128,146 
2023-11-06,Milwaukee Bucks,Brooklyn Nets, 129,125 
2023-11-06,Los Angeles Lakers,Miami Heat, 107,108 
2023-11-06,LA Clippers,New York Knicks, 97,111 
2023-11-06,Utah Jazz,Chicago Bulls, 113,130 
2023-11-06,Sacramento Kings,Houston Rockets, 97,122 
2023-11-06,Boston Celtics,Minnesota Timberwolves, 109,114 
2023-11-06,Atlanta Hawks,Oklahoma City Thunder, 117,126 
2023-11-06,New Orleans Pelicans,Denver Nuggets, 116,134 
2023-11-08,Washington Wizards,Charlotte Hornets, 132,116 
2023-11-08,Utah Jazz,Indiana Pacers, 118,134 
2023-11-08,Boston Celtics,Philadelphia 76ers, 103,106 
2023-11-08,LA Clippers,Brooklyn Nets, 93,100 
2023-11-08,San Antonio Spurs,New York Knicks, 105,126 
2023-11-08,Phoenix Suns,Chicago Bulls, 116,115 
2023-11-08,Los Angeles Lakers,Houston Rockets, 94,128 
2023-11-08,Miami Heat,Memphis Grizzlies, 108,102 
2023-11-08,Detroit Pistons,Milwaukee Bucks, 118,120 
2023-11-08,New Orleans Pelicans,Minnesota Timberwolves, 101,122 
2023-11-08,Cleveland Cavaliers,Oklahoma City Thunder, 120,128 
2023-11-08,Toronto Raptors,Dallas Mavericks, 127,116 
2023-11-08,Golden State Warriors,Denver Nuggets, 105,108 
2023-11-08,Portland Trail Blazers,Sacramento Kings, 118,121 
2023-11-09,Milwaukee Bucks,Indiana Pacers, 124,126 
2023-11-09,Atlanta Hawks,Orlando Magic, 120,119 
2023-11-10,Philadelphia 76ers,Detroit Pistons, 114,106 
2023-11-10,Charlotte Hornets,Washington Wizards, 124,117 
2023-11-10,Brooklyn Nets,Boston Celtics, 107,121 
