date,visitor,home,visitor_points,home_points
2015-10-02,Denver Nuggets,LA Clippers,96.0,103.0
2015-10-03,New Orleans Pelicans,Indiana Pacers,110.0,105.0
2015-10-03,Charlotte Hornets,Orlando Magic,106.0,100.0
2015-10-04,Utah Jazz,Los Angeles Lakers,90.0,71.0
2015-10-04,Charlotte Hornets,Miami Heat,90.0,77.0
2015-10-04,LA Clippers,Toronto Raptors,73.0,93.0
2015-10-05,Toronto Raptors,Golden State Warriors,87.0,95.0
2015-10-05,Sacramento Kings,Portland Trail Blazers,109.0,105.0
2015-10-06,Indiana Pacers,Detroit Pistons,115.0,112.0
2015-10-06,Denver Nuggets,Dallas Mavericks,96.0,86.0
2015-10-06,Houston Rockets,Memphis Grizzlies,89.0,92.0
2015-10-06,Philadelphia 76ers,Washington Wizards,95.0,129.0
2015-10-06,Milwaukee Bucks,Chicago Bulls,95.0,105.0
2015-10-07,Sacramento Kings,Phoenix Suns,98.0,102.0
2015-10-07,Oklahoma City Thunder,Minnesota Timberwolves,122.0,99.0
2015-10-07,Dallas Mavericks,Houston Rockets,82.0,109.0
2015-10-07,Orlando Magic,Miami Heat,100.0,97.0
2015-10-07,Utah Jazz,Los Angeles Lakers,117.0,114.0
2015-10-07,Atlanta Hawks,Cleveland Cavaliers,98.0,96.0
2015-10-08,Chicago Bulls,Denver Nuggets,94.0,112.0
2015-10-08,Cleveland Cavaliers,Philadelphia 76ers,114.0,115.0
2015-10-08,Toronto Raptors,Los Angeles Lakers,105.0,97.0
2015-10-08,San Antonio Spurs,Sacramento Kings,92.0,95.0
2015-10-08,Orlando Magic,Indiana Pacers,92.0,97.0
2015-10-08,Brooklyn Nets,Detroit Pistons,93.0,83.0
2015-10-08,Golden State Warriors,Portland Trail Blazers,101.0,118.0
2015-10-09,Utah Jazz,Phoenix Suns,85.0,101.0
2015-10-09,New York Knicks,Washington Wizards,115.0,104.0
2015-10-09,Atlanta Hawks,New Orleans Pelicans,103.0,93.0
