visitor_fastBreakPoints,visitor_pointsInPaint,visitor_biggestLead,visitor_secondChancePoints,visitor_pointsOffTurnovers,visitor_longestRun,visitor_points,visitor_fgm,visitor_fga,visitor_fgp,visitor_ftm,visitor_fta,visitor_ftp,visitor_tpm,visitor_tpa,visitor_tpp,visitor_offReb,visitor_defReb,visitor_totReb,visitor_assists,visitor_pFouls,visitor_steals,visitor_turnovers,visitor_blocks,visitor_plusMinus,visitor_min,game_id,visitor_team,home_fastBreakPoints,home_pointsInPaint,home_biggestLead,home_secondChancePoints,home_pointsOffTurnovers,home_longestRun,home_points,home_fgm,home_fga,home_fgp,home_ftm,home_fta,home_ftp,home_tpm,home_tpa,home_tpp,home_offReb,home_defReb,home_totReb,home_assists,home_pFouls,home_steals,home_turnovers,home_blocks,home_plusMinus,home_min,home_team
6.0,38.0,3.0,9.0,13.0,11.0,92.0,30.0,86.0,34.9,25.0,27.0,92.6,7.0,36.0,19.4,16.0,36.0,52.0,15.0,25.0,5.0,16.0,8.0,-16,240:00,10302,Washington Wizards,9.0,40.0,17.0,13.0,24.0,11.0,108.0,41.0,89.0,46.1,14.0,20.0,70.0,12.0,31.0,38.7,9.0,34.0,43.0,19.0,21.0,10.0,11.0,11.0,16,240:00,Utah Jazz
,,,,,,101.0,42.0,101.0,41.6,10.0,13.0,76.9,7.0,32.0,21.9,14.0,31.0,45.0,21.0,11.0,5.0,9.0,5.0,-25,240:00,11263,Washington Wizards,,,,,,,126.0,48.0,88.0,76.9,9.0,10.0,90.0,21.0,46.0,45.7,6.0,43.0,49.0,29.0,20.0,4.0,15.0,8.0,25,240:00,Utah Jazz
,,,,,,130.0,51.0,91.0,56.0,13.0,16.0,81.3,15.0,34.0,44.1,11.0,37.0,48.0,24.0,15.0,5.0,19.0,6.0,8,240:00,12388,Washington Wizards,,,,,,,122.0,45.0,92.0,81.3,11.0,16.0,68.8,21.0,48.0,43.8,6.0,23.0,29.0,31.0,17.0,11.0,12.0,0.0,-8,240:00,Utah Jazz
,,,,,,121.0,43.0,98.0,43.9,21.0,24.0,87.5,14.0,37.0,37.8,11.0,31.0,42.0,25.0,24.0,8.0,12.0,4.0,-8,240:00,12395,Washington Wizards,,,,,,,129.0,46.0,89.0,87.5,21.0,25.0,84.0,16.0,40.0,40.0,9.0,40.0,49.0,25.0,23.0,4.0,16.0,5.0,8,240:00,Utah Jazz
,,,,,,120.0,44.0,94.0,46.8,17.0,22.0,77.3,15.0,35.0,42.9,12.0,33.0,45.0,28.0,15.0,5.0,10.0,7.0,-8,240:00,12404,Washington Wizards,,,,,,,128.0,47.0,94.0,77.3,16.0,17.0,94.1,18.0,42.0,42.9,11.0,36.0,47.0,24.0,16.0,7.0,7.0,10.0,8,240:00,Utah Jazz
,,,,,,120.0,46.0,87.0,52.9,10.0,17.0,58.8,18.0,36.0,50.0,15.0,29.0,44.0,30.0,18.0,5.0,13.0,3.0,2,240:00,13582,Washington Wizards,,,,,,,118.0,47.0,95.0,58.8,13.0,19.0,68.4,11.0,38.0,28.9,12.0,26.0,38.0,21.0,16.0,7.0,9.0,8.0,-2,240:00,Utah Jazz
,,,,,,123.0,51.0,104.0,49.0,6.0,10.0,60.0,15.0,44.0,34.1,17.0,36.0,53.0,24.0,17.0,5.0,11.0,5.0,1,240:00,13608,Washington Wizards,,,,,,,122.0,45.0,94.0,60.0,18.0,21.0,85.7,14.0,36.0,38.9,9.0,34.0,43.0,28.0,15.0,7.0,12.0,6.0,-1,240:00,Utah Jazz
,,,,,,125.0,50.0,100.0,50.0,15.0,16.0,93.8,10.0,34.0,29.4,13.0,35.0,48.0,24.0,17.0,4.0,10.0,4.0,-9,240:00,13877,Washington Wizards,,,,,,,134.0,52.0,95.0,93.8,10.0,12.0,83.3,20.0,42.0,47.6,5.0,35.0,40.0,35.0,21.0,6.0,9.0,6.0,9,240:00,Utah Jazz
,,,,,,93.0,37.0,89.0,41.6,13.0,16.0,81.3,6.0,31.0,19.4,8.0,35.0,43.0,23.0,13.0,9.0,20.0,3.0,-30,240:00,14211,Washington Wizards,,,,,,,123.0,48.0,99.0,81.3,9.0,13.0,69.2,18.0,55.0,32.7,11.0,39.0,50.0,27.0,14.0,15.0,13.0,7.0,30,240:00,Utah Jazz
5.0,36.0,15.0,15.0,11.0,12.0,95.0,34.0,93.0,36.6,15.0,15.0,100,12.0,38.0,31.6,11.0,37.0,48.0,18.0,22.0,6.0,13.0,3.0,-10,240:00,10421,Washington Wizards,18.0,50.0,13.0,14.0,11.0,12.0,105.0,36.0,85.0,42.4,22.0,27.0,81.5,11.0,38.0,28.9,12.0,42.0,54.0,21.0,15.0,5.0,12.0,6.0,10,240:00,Utah Jazz
