home_team,visitor_team,visitor_points,visitor_fgm,visitor_fga,visitor_fgp,visitor_ftm,visitor_fta,visitor_ftp,visitor_tpm,visitor_tpa,visitor_tpp,visitor_offReb,visitor_defReb,visitor_totReb,visitor_assists,visitor_pFouls,visitor_steals,visitor_turnovers,visitor_blocks,home_points,home_fgm,home_fga,home_fgp,home_ftm,home_fta,home_ftp,home_tpm,home_tpa,home_tpp,home_offReb,home_defReb,home_totReb,home_assists,home_pFouls,home_steals,home_turnovers,home_blocks,visitor_drb%,home_drb%,visitor_orb%,home_orb%,visitor_fta_rate,home_fta_rate,visitor_possessions,home_possessions,visitor_to%,home_to%,visitor_ORtg,home_ORtg,visitor_DRtg,home_DRtg,visitor_turn_over_ratio,home_turn_over_ratio,visitor_efg%,home_efg%,visitor_ts%,home_ts%,points_diff,rebounds_diff,turnovers_diff,winner,total_points
Houston Rockets,Miami Heat,120.0,40.0,86.0,0.465,26.0,31.0,0.8390000000000001,14.0,33.0,0.424,11.0,32.0,43.0,21.0,16.0,7.0,14.0,6.0,110.0,41.0,93.0,0.441,14.0,17.0,0.8240000000000001,14.0,42.0,0.33299999999999996,15.0,31.0,46.0,21.0,27.0,9.0,18.0,4.0,0.6808510638297872,0.7380952380952381,0.2619047619047619,0.3191489361702128,0.36046511627906974,0.1827956989247312,102.64,103.48,0.1363990646921278,0.17394665635871664,116.91348402182385,106.30073444143795,107.17069368667187,115.96443757247776,10.398098633392753,12.905075996558645,0.5465116279069767,0.5161290322580645,0.602167804094741,0.5473726114649682,-10.0,3.0,4.0,0,230.0
Cleveland Cavaliers,Atlanta Hawks,121.0,43.0,97.0,0.44299999999999995,19.0,21.0,0.905,16.0,38.0,0.42100000000000004,14.0,30.0,44.0,23.0,23.0,8.0,2.0,4.0,118.0,48.0,84.0,0.5710000000000001,14.0,24.0,0.583,8.0,25.0,0.32,8.0,38.0,46.0,27.0,18.0,1.0,9.0,8.0,0.7894736842105263,0.7307692307692307,0.2692307692307692,0.21052631578947367,0.21649484536082475,0.2857142857142857,94.24,95.56,0.021222410865874366,0.09418166596902469,128.39558573853992,123.48262871494349,125.21222410865876,126.62201758057765,1.5239256324291373,6.893382352941177,0.5257731958762887,0.6190476190476191,0.5694653614457832,0.6239424703891708,-3.0,2.0,7.0,0,239.0
Toronto Raptors,LA Clippers,108.0,38.0,78.0,0.48700000000000004,17.0,19.0,0.895,15.0,34.0,0.441,3.0,34.0,37.0,27.0,24.0,6.0,12.0,7.0,116.0,40.0,96.0,0.41700000000000004,25.0,33.0,0.758,11.0,35.0,0.314,18.0,36.0,54.0,19.0,18.0,8.0,7.0,4.0,0.6538461538461539,0.9230769230769231,0.07692307692307693,0.34615384615384615,0.24358974358974358,0.34375,95.36,99.52,0.12583892617449666,0.07033762057877814,113.25503355704699,116.55948553054662,121.64429530201342,108.52090032154342,9.572431397574984,5.127453852915324,0.5833333333333334,0.4739583333333333,0.6252894858730894,0.5247918928700688,8.0,17.0,-5.0,1,224.0
Oklahoma City Thunder,New York Knicks,80.0,30.0,81.0,0.37,12.0,22.0,0.545,8.0,41.0,0.195,5.0,43.0,48.0,12.0,12.0,6.0,10.0,3.0,95.0,36.0,87.0,0.414,5.0,7.0,0.7140000000000001,18.0,43.0,0.419,7.0,42.0,49.0,21.0,17.0,6.0,9.0,3.0,0.86,0.8936170212765957,0.10638297872340426,0.14,0.2716049382716049,0.08045977011494253,95.68,92.08,0.10451505016722407,0.09774109470026064,83.61204013377926,103.17115551694178,99.28929765886288,86.88097306689835,8.874689385871495,7.495003331112592,0.41975308641975306,0.5172413793103449,0.44111160123511245,0.5273090586145649,15.0,1.0,-1.0,1,175.0
Memphis Grizzlies,San Antonio Spurs,105.0,39.0,90.0,0.433,15.0,24.0,0.625,12.0,35.0,0.34299999999999997,11.0,36.0,47.0,24.0,15.0,3.0,11.0,8.0,118.0,49.0,102.0,0.48,10.0,16.0,0.625,10.0,26.0,0.385,16.0,42.0,58.0,28.0,18.0,7.0,9.0,11.0,0.6923076923076923,0.7924528301886793,0.20754716981132076,0.3076923076923077,0.26666666666666666,0.1568627450980392,100.56,102.04,0.10938743038981702,0.08820070560564484,104.41527446300715,115.640925127401,117.34287987271281,102.90082320658564,8.114488049572145,6.162695152013146,0.5,0.5294117647058824,0.5220763723150358,0.541085840058694,13.0,11.0,-2.0,1,223.0
Utah Jazz,Minnesota Timberwolves,108.0,40.0,93.0,0.43,14.0,22.0,0.636,14.0,41.0,0.341,11.0,30.0,41.0,23.0,30.0,9.0,10.0,5.0,120.0,37.0,78.0,0.474,35.0,41.0,0.8540000000000001,11.0,29.0,0.379,10.0,39.0,49.0,18.0,20.0,4.0,17.0,5.0,0.75,0.78,0.22,0.25,0.23655913978494625,0.5256410256410257,101.68,103.03999999999999,0.0983477576711251,0.16498447204968944,106.2155782848151,116.45962732919256,118.01730920535012,104.8136645962733,7.370283018867924,12.973137973137973,0.5053763440860215,0.5448717948717948,0.5259057265290221,0.6247396917950855,12.0,8.0,7.0,1,228.0
Los Angeles Lakers,Portland Trail Blazers,106.0,36.0,102.0,0.353,22.0,27.0,0.815,12.0,42.0,0.28600000000000003,21.0,33.0,54.0,19.0,22.0,4.0,9.0,2.0,139.0,47.0,85.0,0.5529999999999999,26.0,30.0,0.867,19.0,41.0,0.46299999999999997,5.0,42.0,47.0,27.0,21.0,6.0,7.0,9.0,0.868421052631579,0.6666666666666666,0.3333333333333333,0.13157894736842105,0.2647058823529412,0.35294117647058826,101.88,100.2,0.08833922261484099,0.06986027944111776,104.04397330192383,138.72255489021956,136.4350215940322,105.7884231536926,6.343388779250071,5.295007564296521,0.4117647058823529,0.6647058823529411,0.4654021777309449,0.7077393075356415,33.0,-7.0,-2.0,1,245.0
Milwaukee Bucks,New Orleans Pelicans,113.0,39.0,95.0,0.41100000000000003,19.0,30.0,0.633,16.0,51.0,0.314,14.0,36.0,50.0,28.0,16.0,10.0,15.0,5.0,136.0,49.0,92.0,0.5329999999999999,15.0,18.0,0.833,23.0,48.0,0.479,4.0,44.0,48.0,27.0,20.0,10.0,13.0,4.0,0.9,0.7586206896551724,0.2413793103448276,0.1,0.3157894736842105,0.1956521739130435,109.2,108.92,0.13736263736263735,0.11935365405802424,103.47985347985346,124.86228424531767,124.54212454212454,103.74586852735952,9.920634920634921,9.291023441966837,0.49473684210526314,0.657608695652174,0.522181146025878,0.6805444355484387,23.0,-2.0,-2.0,1,249.0
Washington Wizards,Chicago Bulls,120.0,41.0,84.0,0.488,21.0,25.0,0.84,17.0,34.0,0.5,6.0,38.0,44.0,17.0,24.0,4.0,15.0,4.0,119.0,46.0,87.0,0.529,21.0,26.0,0.8079999999999999,6.0,27.0,0.222,6.0,37.0,43.0,26.0,22.0,9.0,11.0,3.0,0.8636363636363636,0.8604651162790697,0.13953488372093023,0.13636363636363635,0.2976190476190476,0.2988505747126437,104.0,103.44,0.14423076923076922,0.10634184068058779,115.38461538461537,115.04253673627223,114.42307692307692,116.0092807424594,11.811023622047244,8.121677495569994,0.5892857142857143,0.5632183908045977,0.631578947368421,0.6044290938642828,-1.0,-1.0,-4.0,0,239.0
Detroit Pistons,San Antonio Spurs,116.0,42.0,102.0,0.41200000000000003,20.0,28.0,0.7140000000000001,12.0,40.0,0.3,13.0,35.0,48.0,30.0,27.0,8.0,16.0,3.0,117.0,41.0,101.0,0.406,26.0,33.0,0.7879999999999999,9.0,35.0,0.257,22.0,41.0,63.0,18.0,23.0,12.0,20.0,6.0,0.6140350877192983,0.7592592592592593,0.24074074074074073,0.38596491228070173,0.27450980392156865,0.32673267326732675,117.32,113.52,0.13637913399249915,0.1761804087385483,98.87487214456189,103.06553911205074,99.727241732015,102.18463706835801,9.980039920159681,13.02761855132882,0.47058823529411764,0.4504950495049505,0.5073477956613016,0.5064058171745153,1.0,15.0,4.0,1,233.0
