home_team,visitor_team,visitor_points,home_points,visitor_fgm,home_fgm,visitor_ORtg,home_ORtg,visitor_DRtg,home_DRtg,total_points
Sacramento Kings,Memphis Grizzlies,114.0,96.0,41.0,37.0,118.0613090306545,95.04950495049505,99.42004971002486,112.87128712871286,210.0
LA Clippers,Charlotte Hornets,98.0,106.0,36.0,36.0,94.81424148606811,108.29587249693502,102.55417956656348,100.12259910093992,204.0
Houston Rockets,Los Angeles Lakers,142.0,148.0,53.0,49.0,118.05786498170934,124.20275260154415,123.04622547389425,119.16750587445452,290.0
Oklahoma City Thunder,Dallas Mavericks,116.0,113.0,46.0,43.0,123.1945624468989,114.00322841000808,120.00849617672047,117.02986279257466,229.0
Phoenix Suns,Philadelphia 76ers,123.0,110.0,43.0,37.0,120.63554335033346,102.84218399401645,107.88544527265593,114.9962602842184,233.0
Toronto Raptors,Milwaukee Bucks,127.0,131.0,44.0,45.0,116.17270398829127,117.46771879483502,119.83168679107207,113.88091822094692,258.0
Brooklyn Nets,Orlando Magic,95.0,98.0,35.0,36.0,95.0,103.02775441547519,98.0,99.87384356602186,193.0
Minnesota Timberwolves,Los Angeles Lakers,96.0,114.0,34.0,40.0,92.52120277563608,109.40499040307101,109.86892829606785,92.13051823416507,210.0
Chicago Bulls,Portland Trail Blazers,124.0,120.0,47.0,45.0,110.79342387419587,107.9913606911447,107.21944245889921,111.59107271418287,244.0
Cleveland Cavaliers,Portland Trail Blazers,110.0,127.0,42.0,43.0,109.6054204862495,125.3949447077409,126.5444400159426,108.60979462875197,237.0
New York Knicks,San Antonio Spurs,100.0,91.0,31.0,35.0,109.93843447669305,93.89186958316137,100.04397537379066,103.17787866281469,191.0
Phoenix Suns,Atlanta Hawks,103.0,104.0,36.0,39.0,106.18556701030928,105.64811052417717,107.21649484536083,104.63226330759854,207.0
Sacramento Kings,Charlotte Hornets,131.0,111.0,51.0,45.0,138.01095659502738,118.18568994889267,116.94058154235145,139.48040885860306,242.0
LA Clippers,Memphis Grizzlies,105.0,113.0,38.0,39.0,107.67022149302707,113.40826977117624,115.87366694011484,105.37936571657968,218.0
