home_team,visitor_team,home_points,visitor_ORtg,home_ORtg,visitor_DRtg,home_DRtg,visitor_ts%,home_ts%,home_win
Sacramento Kings,Memphis Grizzlies,96.0,118.0613090306545,95.04950495049505,99.42004971002486,112.87128712871286,0.6585027726432532,0.4948453608247423,0
LA Clippers,Charlotte Hornets,106.0,94.81424148606811,108.29587249693502,102.55417956656348,100.12259910093992,0.48342541436464087,0.6030951297223487,1
Houston Rockets,Los Angeles Lakers,148.0,118.05786498170934,124.20275260154415,123.04622547389425,119.16750587445452,0.5854221635883905,0.6008444300097434,1
Oklahoma City Thunder,Dallas Mavericks,113.0,123.1945624468989,114.00322841000808,120.00849617672047,117.02986279257466,0.6094997898276587,0.5700161420500404,0
Phoenix Suns,Philadelphia 76ers,110.0,120.63554335033346,102.84218399401645,107.88544527265593,114.9962602842184,0.6687690300130491,0.5341880341880342,0
Toronto Raptors,Milwaukee Bucks,131.0,116.17270398829127,117.46771879483502,119.83168679107207,113.88091822094692,0.6029244208127611,0.6207354056103108,1
Brooklyn Nets,Orlando Magic,98.0,95.0,103.02775441547519,98.0,99.87384356602186,0.4439252336448598,0.5319148936170213,1
Minnesota Timberwolves,Los Angeles Lakers,114.0,92.52120277563608,109.40499040307101,109.86892829606785,92.13051823416507,0.540784136998648,0.6050955414012739,1
Chicago Bulls,Portland Trail Blazers,120.0,110.79342387419587,107.9913606911447,107.21944245889921,111.59107271418287,0.5348516218081435,0.5257623554153522,0
Cleveland Cavaliers,Portland Trail Blazers,127.0,109.6054204862495,125.3949447077409,126.5444400159426,108.60979462875197,0.5591703944692965,0.6396051571313457,1
New York Knicks,San Antonio Spurs,91.0,109.93843447669305,93.89186958316137,100.04397537379066,103.17787866281469,0.5156765676567656,0.47935103244837757,0
Phoenix Suns,Atlanta Hawks,104.0,106.18556701030928,105.64811052417717,107.21649484536083,104.63226330759854,0.5255102040816326,0.5879692446856626,1
Sacramento Kings,Charlotte Hornets,111.0,138.01095659502738,118.18568994889267,116.94058154235145,139.48040885860306,0.6758151052414362,0.5847029077117573,0
LA Clippers,Memphis Grizzlies,113.0,107.67022149302707,113.40826977117624,115.87366694011484,105.37936571657968,0.561377245508982,0.6675330812854442,1
Philadelphia 76ers,San Antonio Spurs,112.0,105.87295245705153,113.22280630812777,111.86576108669597,107.15729882733523,0.5457166392092256,0.5661140315406389,1
Orlando Magic,Houston Rockets,98.0,111.28165771297007,93.33333333333333,94.01381427475059,110.47619047619048,0.5903908794788274,0.4803921568627451,0
Washington Wizards,New York Knicks,121.0,103.08246597277821,122.91751320601382,121.0968775020016,104.63226330759854,0.5483390119250425,0.6544785807009953,1
Brooklyn Nets,Minnesota Timberwolves,98.0,102.9723991507431,106.70731707317074,104.03397027600849,105.61846689895471,0.5203862660944206,0.6376887038001041,1
Miami Heat,Detroit Pistons,111.0,107.17230008244023,118.28644501278771,114.38582028029678,110.82693947144075,0.5588993981083404,0.624718595227375,1
Boston Celtics,Cleveland Cavaliers,102.0,86.34222919937206,99.18319719953325,100.0784929356358,85.56981719175418,0.45398266611638466,0.5266418835192069,1
Milwaukee Bucks,Indiana Pacers,122.0,102.68401789345263,125.35963830661736,124.03416022773486,103.78133990957666,0.5467734950194889,0.6985799358680715,1
Chicago Bulls,Toronto Raptors,115.0,118.81947106170946,109.14958238420654,110.19547719432732,117.69172361427486,0.6177760063770427,0.5672849250197316,0
Dallas Mavericks,Golden State Warriors,122.0,117.52538548326439,116.5456629728697,114.70477623166605,119.41153993121894,0.6290257648953301,0.6119582664526484,0
Utah Jazz,New Orleans Pelicans,98.0,107.69844435580376,98.51226377161238,97.7263661747108,108.56453558504222,0.6186984417965169,0.5356362046348928,0
Denver Nuggets,Phoenix Suns,134.0,108.48318999218141,129.24382716049382,130.96168881939016,107.06018518518519,0.5320168711656442,0.7308027923211169,1
Los Angeles Lakers,Oklahoma City Thunder,96.0,134.39773645917543,96.3855421686747,97.00889248181083,133.53413654618475,0.6858498349834984,0.48681541582150106,0
Houston Rockets,Golden State Warriors,114.0,121.8074656188605,111.02454226723802,111.98428290766209,120.76353720296065,0.6471816283924844,0.5776246453182002,0
LA Clippers,Oklahoma City Thunder,117.0,123.10973245443971,111.30136986301369,113.41605273361768,120.81430745814308,0.6277184657967576,0.5312386487468216,0
Boston Celtics,Minnesota Timberwolves,91.0,91.98423127463865,98.14495254529767,99.64958388085853,90.595340811044,0.4755434782608696,0.4562775772162054,1
Philadelphia 76ers,Detroit Pistons,114.0,84.4521437851884,120.35472972972974,123.43005630142918,82.34797297297297,0.45159796201945346,0.5954868366067697,1
Miami Heat,New York Knicks,107.0,101.85917721518987,105.10805500982319,105.81487341772151,101.17878192534381,0.5714602751886373,0.5204280155642024,1
Milwaukee Bucks,Toronto Raptors,110.0,132.55240443896426,114.8705096073517,113.02918207973696,134.71177944862154,0.6560211554109032,0.6127450980392156,0
Dallas Mavericks,Chicago Bulls,124.0,124.95080676898857,117.55783086841107,121.99921290830382,120.4019719378081,0.6929288520296814,0.6232408524326497,0
San Antonio Spurs,Phoenix Suns,103.0,84.82653450247808,101.05965463108319,98.17003431185665,87.32339089481947,0.4894412670479542,0.5425621576064054,1
Denver Nuggets,Utah Jazz,99.0,95.14847344207445,100.4056795131846,103.51317440401506,92.2920892494929,0.5251615881809788,0.5345572354211663,1
Memphis Grizzlies,Washington Wizards,100.0,102.04081632653062,97.61811792268645,100.04001600640255,99.57048028114018,0.51535974130962,0.513136288998358,0
Portland Trail Blazers,Atlanta Hawks,110.0,89.8989898989899,115.59478772593528,111.11111111111111,93.52669188734762,0.4734042553191489,0.638347260909935,1
Los Angeles Lakers,Charlotte Hornets,94.0,103.80622837370241,91.01471727343144,90.34986543637062,104.570100697134,0.5092417955488494,0.4734085414987913,0
LA Clippers,Golden State Warriors,105.0,107.76629853936588,93.58288770053476,93.51620947630923,107.84313725490196,0.5486035545883207,0.5038387715930902,0
Brooklyn Nets,Boston Celtics,85.0,90.06211180124224,81.19984715322889,87.99171842650104,83.11043179212838,0.41586998087954113,0.42212951926897097,0
Detroit Pistons,Houston Rockets,108.0,105.38397328881469,116.27906976744187,112.68781302170284,108.74246339362618,0.5324757486292704,0.6215469613259669,1
Orlando Magic,Cleveland Cavaliers,127.0,118.40202458423717,112.70855520056797,114.78669558929862,116.25843095491658,0.6085098476402824,0.5897102526002972,0
Indiana Pacers,Chicago Bulls,125.0,89.77035490605428,130.31693077564637,130.48016701461378,89.6580483736447,0.48423423423423423,0.6654599659284497,1
Washington Wizards,Milwaukee Bucks,103.0,112.0162932790224,102.22310440651053,104.88798370672097,109.17030567685589,0.5901287553648068,0.5674305861613045,0
Minnesota Timberwolves,New Orleans Pelicans,116.0,99.67453213995118,121.79756404871904,117.98209926769732,102.89794204115918,0.5425155004428699,0.5844417573559049,1
Sacramento Kings,Denver Nuggets,106.0,95.8528951486698,105.49363057324841,103.67762128325508,97.53184713375795,0.5748474894415767,0.5222703981080016,1
Miami Heat,Utah Jazz,103.0,108.74200426439234,112.2004357298475,109.80810234541578,111.11111111111111,0.5616740088105727,0.5610021786492375,1
Dallas Mavericks,New York Knicks,96.0,102.24948875255623,95.4653937947494,98.15950920245399,99.44311853619729,0.5446623093681917,0.46801872074882994,0
Phoenix Suns,Oklahoma City Thunder,114.0,101.7915309446254,122.42268041237112,116.04234527687296,107.38831615120274,0.5249895002099958,0.5809213208316347,1
Portland Trail Blazers,San Antonio Spurs,111.0,114.06055578598094,115.14522821576763,115.09746992948983,114.10788381742738,0.5949805279099957,0.5757261410788381,1
Los Angeles Lakers,Atlanta Hawks,132.0,103.5557184750733,121.10091743119267,120.96774193548387,103.6697247706422,0.5426431041106415,0.6804123711340206,1
